Chambre;Emplacement;RawScan;Nb caisse;Nb bocaux;RawScan-Mani p;Strain;Line;Date;NbSem;AgeAMS;Type;Bocaux;Milieu;Rang;XorEorRori ;Rang/Rang+;Type+Rang;nom_varietes;Batch#;BatchLines;Qualité CHF;;;;0;;;1;< alt+e;;
2;2A31;866120250904G+2 71 ;;4;866120250904G+2;BRAHY;2977;04/09/2025;2;2 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250909MG1 71 ;;5;707220250909MG1;BRAHY;2306;09/09/2025;1;1 sem.;MG1 ;5;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250909MG1 71 ;;4;866120250909MG1;BRAHY;2977;09/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250911MG1 50 ;;4;866120250911MG1;BRAHY;2977;11/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250909MG1 50 ;;4;707220250909MG1;BRAHY;2306;09/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250910MG1 71 ;;4;707220250910MG1;BRAHY;2306;10/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250910MG1 71 ;;4;707220250910MG1;BRAHY;2306;10/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250910MG1 50 ;;4;866120250910MG1;BRAHY;2977;10/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250909MG1 71 ;;4;707220250909MG1;BRAHY;2306;09/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250909MG1 50 ;;4;866120250909MG1;BRAHY;2977;09/09/2025;1;1 sem.;MG1 ;4;MG;1;BoxE;1;BoxE1;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250908G+2 50 ;;4;707220250908G+2;BRAHY;2306;08/09/2025;1;1 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;707220250908G+2 50 ;;4;707220250908G+2;BRAHY;2306;08/09/2025;1;1 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250916MG3 50 ;;4;866120250916MG3;BRAHY;2977;16/09/2025;0;< 1 sem.;MG3 ;4;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250915G+2 50 ;;1;866120250915G+2;BRAHY;2977;15/09/2025;0;< 1 sem.;G+2 ;1;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250915G+2 50 ;;4;866120250915G+2;BRAHY;2977;15/09/2025;0;< 1 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;866120250915G+2 71 ;;4;866120250915G+2;BRAHY;2977;15/09/2025;0;< 1 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250915G+2 50 ;;4;707220250915G+2;BRAHY;2306;15/09/2025;0;< 1 sem.;G+2 ;4;G+;2;BoxE;2;BoxE2;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250908G+4 71 ;;2;866120250908G+4;BRAHY;2977;08/09/2025;1;1 sem.;G+4 ;2;G+;4;BoxE;4;BoxE4;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A31;707220250825G+4 71 ;;2;707220250825G+4;BRAHY;2306;25/08/2025;3;3 sem.;G+4 ;2;G+;4;BoxE;4;BoxE4;BARHEE;BAHREE 91;2278-2307;;;;;;;;;;;
2;2A31;866120250826MG3 71 ;;2;866120250826MG3;BRAHY;2977;26/08/2025;3;3 sem.;MG3 ;2;MG;3;BoxE;3;BoxE3;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
2;2A22;709220250909XM1254 ;13;;709220250909XM1;BRAHY;2311;09/09/2025;1;1 sem.;XM12;182;XM;12;X;12;X12;BARHEE;BAHREE 92;2308-2322;;;;;;;;;;;
2;2A22;866120250916XR5 71 ;;10;866120250916XR5;BRAHY;2977;16/09/2025;0;< 1 sem.;XR5 ;10;XR;5;E;5;E5;BARHEE;BAHREE 108;2957-2986;;;;;;;;;;;
